Ticker,TradeDate,Open,High,Low,Close,Volume,Change,ChangePercent
BELFB,9/17/2013 12:00:00 AM,,,,,12103,0.2341,1.4470
BEN,9/17/2013 12:00:00 AM,,,,,2754590,0.2944,0.6970
BERY,9/17/2013 12:00:00 AM,,,,,7341065,-3.1200,-12.4850
BF.B,9/17/2013 12:00:00 AM,,,,,561063,0.0757,0.2830
BFAM,9/17/2013 12:00:00 AM,,,,,79477,0.1200,0.3280
BFIN,9/17/2013 12:00:00 AM,,,,,14392,0.1763,2.1280
BFS,9/17/2013 12:00:00 AM,,,,,26556,0.0254,0.0680
BG,9/17/2013 12:00:00 AM,,,,,579467,0.4926,0.7000
BGCP,9/17/2013 12:00:00 AM,,,,,420682,0.0073,0.1730
BGFV,9/17/2013 12:00:00 AM,,,,,493798,-0.5013,-3.7650
BGG,9/17/2013 12:00:00 AM,,,,,336578,0.2480,1.4530
BGS,9/17/2013 12:00:00 AM,,,,,148491,0.3727,1.3400
BH,9/17/2013 12:00:00 AM,,,,,7866,6.3500,1.5190
BHB,9/17/2013 12:00:00 AM,,,,,16846,0.0153,0.1090
BHE,9/17/2013 12:00:00 AM,,,,,228202,-0.1089,-0.4820
BHLB,9/17/2013 12:00:00 AM,,,,,138879,-0.1575,-0.7210
BID,9/17/2013 12:00:00 AM,,,,,1170976,0.5807,1.3830
BIG,9/17/2013 12:00:00 AM,,,,,532542,0.4861,1.4320
BIIB,9/17/2013 12:00:00 AM,,,,,798156,0.4800,0.2000
BIO,9/17/2013 12:00:00 AM,,,,,144702,0.2400,0.2070
BIOS,9/17/2013 12:00:00 AM,,,,,674081,0.3800,3.3250
BJRI,9/17/2013 12:00:00 AM,,,,,482180,0.2773,0.8790
BK,9/17/2013 12:00:00 AM,,,,,2834337,0.0457,0.1590
BKD,9/17/2013 12:00:00 AM,,,,,948349,0.1600,0.6120
BKE,9/17/2013 12:00:00 AM,,,,,183281,0.1551,0.4300
BKH,9/17/2013 12:00:00 AM,,,,,165278,0.2314,0.5650
BKNG,9/17/2013 12:00:00 AM,,,,,279055,2.5000,0.2580
BKS,9/17/2013 12:00:00 AM,,,,,665441,0.0420,0.5930
BKU,9/17/2013 12:00:00 AM,,,,,632351,0.6185,2.2970
BLDR,9/17/2013 12:00:00 AM,,,,,244114,0.1600,2.8420
BLK,9/17/2013 12:00:00 AM,,,,,604284,0.2925,0.1210
BLKB,9/17/2013 12:00:00 AM,,,,,108619,0.3737,1.0130
BLL,9/17/2013 12:00:00 AM,,,,,1679392,0.0527,0.2410
BLMN,9/17/2013 12:00:00 AM,,,,,338409,0.3777,1.6560
BLMT,9/17/2013 12:00:00 AM,,,,,6537,-0.1800,-1.2710
BLUE,9/17/2013 12:00:00 AM,,,,,73538,-0.4100,-1.5180
BLX,9/17/2013 12:00:00 AM,,,,,109806,0.0607,0.3220
BMCH,9/17/2013 12:00:00 AM,,,,,71868,-0.0200,-0.1450
BMI,9/17/2013 12:00:00 AM,,,,,68944,0.3857,1.8370
BMRC,9/17/2013 12:00:00 AM,,,,,11996,0.4757,1.3000
BMRN,9/17/2013 12:00:00 AM,,,,,2820774,2.5600,3.4880
BMS,9/17/2013 12:00:00 AM,,,,,1812571,-1.0717,-3.0410
BMTC,9/17/2013 12:00:00 AM,,,,,47949,0.0708,0.3100
BMY,9/17/2013 12:00:00 AM,,,,,5845679,0.2283,0.5760
BNCL,9/17/2013 12:00:00 AM,,,,,96076,0.2037,2.2040
